제목,분야,Description,Tokenized,Descript
아몬드,소설,"&lt;완득이&gt;, &lt;위저드 베이커리&gt;를 잇는 제10회 창비청소년문학상 수상작. '감정을 느끼지 못하는' 소년의 특별한 성장 이야기이다. 작품 속 인물들이 타인과 관계 맺고 슬픔에 공감하며 성장해 나가는 과정을 탁월하게 묘사했다. 열여섯 살 소년 선윤재는 '감정 표현 불능증'을 앓고 있다. '아몬드'라 불리는 편도체가 작아 분노도 공포도 잘 느끼지 못한다. 타고난 침착성, 엄마와 할머니의 지극한 사랑 덕에 별 탈 없이 지냈지만, 크리스마스이브이던 열여섯 번째 생일날 비극적인 사고가 일어나 가족을 잃는다. 세상에 홀로 남겨진 윤재 앞에 '곤이'가 나타난다. 13년 만에 가족의 품으로 돌아오게 된 곤이는 분노로 가득 찬 아이다. 곤이는 윤재에게 화를 쏟아 내지만, 감정의 동요가 없는 윤재 앞에서 오히려 쩔쩔매고 만다. 윤재는 어쩐지 곤이가 밉지 않고, 오히려 궁금해진다. 두 소년은 남들이 이해할 수 없는 특별한 우정을 쌓아 간다. 윤재는 조금씩 내면의 변화를 겪는데…. 서로 다른 이유로 '괴물'이라 불리는 두 소년은 세상으로 한 발짝 나아갈 수 있을까?","['lt', '완득이', 'lt', '위저드', '베이커리', '잇는', '창비청소년문학상', '수상작', '감정을', '느끼지', '못하는', '소년의', '특별한', '성장', '이야기이다', '작품', '인물들이', '타인과', '관계', '맺고', '슬픔에', '공감하며', '성장해', '나가는', '과정을', '탁월하게', '묘사했다', '열여섯', '소년', '선윤재는', '감정', '표현', '불능증', '앓고', '있다', '아몬드', '불리는', '편도체가', '작아', '분노도', '공포도', '느끼지', '못한다', '타고난', '침착성', '엄마와', '할머니의', '지극한', '사랑', '덕에', '없이', '지냈지만', '크리스마스이브이던', '열여섯', '번째', '생일날', '비극적인', '사고가', '일어나', '가족을', '잃는다', '세상에', '홀로', '남겨진', '윤재', '앞에', '곤이', '나타난다', '만에', '가족의', '품으로', '돌아오게', '곤이는', '분노로', '가득', '아이다', '곤이는', '윤재에게', '화를', '쏟아', '내지만', '감정의', '동요가', '없는', '윤재', '앞에서', '오히려', '쩔쩔매고', '만다', '윤재는', '어쩐지', '곤이가', '밉지', '않고', '오히려', '궁금해진다', '소년은', '남들이', '이해할', '없는', '특별한', '우정을', '쌓아', '간다', '윤재는', '조금씩', '내면의', '변화를', '겪는데', '서로', '다른', '이유로', '괴물', '이라', '불리는', '소년은', '세상으로', '발짝', '나아갈', '있을까']",&lt;완득이&gt; &lt;위 베이커리&gt; 잇 제10 창비청소년문학 수상작 '감정 느끼 못 소 특별 성 이야기이다 작  인물 타 관 맺 슬픔 공감 성장  과정 탁 묘사했다 열  소 선윤재 '감 표 불능증 앓  '아몬드 불리 편도체 작 분노 공포  느끼 못한다 타고 침착성 엄마 할머니 지극  덕    지냈 크리스마스이브 열  생 비극 사고  가족 잃는다 세상 홀 남겨 윤  '곤 나타난다 13  가족 품으 돌아  곤 분노   아이다 곤 윤재 화 쏟  감정 동요  윤  오히 쩔쩔 만다 윤재 어쩐 곤 밉  오히 궁금해진다  소 남 이해   특별 우정 쌓 간다 윤재  내면 변화 겪는데… 서 다 이유 '괴물' 불리  소 세상으  발   있을까?
달러구트 꿈 백화점,소설,"잠들어야만 입장 가능한 꿈 백화점에서 일어나는 비밀스럽고도 기묘하며 가슴 뭉클한 판타지 소설 여기는 잠들어야만 입장할 수 있는 ‘달러구트 꿈 백화점’입니다. 잠들어야만 입장할 수 있는 독특한 마을. 그곳에 들어온 잠든 손님들에게 가장 인기 있는 곳은, 온갖 꿈을 한데 모아 판매하는 ‘달러구트의 꿈 백화점’이다. 긴 잠을 자는 사람들은 물론이고, 짧은 낮잠을 자는 사람들과 동물들로 매일매일 대성황을 이룬다. 범상치 않은 혈통의 주인장 ‘달러구트’, 그리고 그의 최측근에서 일하게 된 신참 직원 ‘페니’, 꿈을 만드는 제작자 ‘아가넵 코코’, 그리고 베일에 둘러싸인 비고 마이어스…등이 등장한다. 《달러구트 꿈 백화점》은 ‘무의식에서만 존재하는 꿈을 정말 사고 팔 수 있을까?’라는 기발한 질문에 답을 찾아가며, 꿈을 만드는 사람, 파는 사람, 사는 사람의 비밀스런 에피소드를 담고 있는 판타지 소설이다. 텀블벅 펀딩 1812% 달성, 전자책 출간 즉시 베스트셀러 1위를 3주간 기록하며 수많은 독자들의 요청으로 종이책으로 출간하게 되었다.","['잠들어야만', '입장', '가능한', '백화점에서', '일어나는', '비밀스럽고도', '기묘하며', '가슴', '뭉클한', '판타지', '소설', '여기는', '잠들어야만', '입장할', '있는', '달러구트', '백화점', '입니다', '잠들어야만', '입장할', '있는', '독특한', '마을', '그곳에', '들어온', '잠든', '손님들에게', '가장', '인기', '있는', '곳은', '온갖', '꿈을', '한데', '모아', '판매하는', '달러구트의', '백화점', '이다', '잠을', '자는', '사람들은', '물론이고', '짧은', '낮잠을', '자는', '사람들과', '동물들로', '매일매일', '대성황을', '이룬다', '범상치', '않은', '혈통의', '주인장', '달러구트', '그리고', '그의', '최측근에서', '일하게', '신참', '직원', '페니', '꿈을', '만드는', '제작자', '아가넵', '코코', '그리고', '베일에', '둘러싸인', '비고', '마이어스', '등이', '등장한다', '달러구트', '백화점', '무의식에서만', '존재하는', '꿈을', '정말', '사고', '있을까', '라는', '기발한', '질문에', '답을', '찾아가며', '꿈을', '만드는', '사람', '파는', '사람', '사는', '사람의', '비밀스런', '에피소드를', '담고', '있는', '판타지', '소설이다', '텀블벅', '펀딩', '달성', '전자책', '출간', '즉시', '베스트셀러', '위를', '주간', '기록하며', '수많은', '독자들의', '요청으로', '종이책으로', '출간하게', '되었다']",잠들어 입 가능  백화 일어 비밀스럽고 기묘  뭉클 판타 소  잠들어 입장   ‘달러  백화점’입니다 잠들어 입장   독특 마 그곳  잠 손님    곳은 온 꿈   판 ‘달러구트  백화점’이다  잠   물론이고 짧 낮잠   동물 매 대성황 이룬다 범상  혈통  ‘달러구트’ 그리  최측근   신 직 ‘페니’ 꿈 만드 제작 ‘아 코코’ 그리 베 둘러싸 비 마이어스… 등장한다 《달러  백화점》 ‘무의식 존재 꿈 정    있을까?’ 기발 질문 답 찾아가며 꿈 만드  파    비밀스 에피소드 담  판타 소설이다 텀블 펀 1812 달성  출  베스트셀 1위 3 기록 수 독 요청으 종이책으 출간 되었다.
데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션),소설,"헤르만 헤세 탄생 140주년 기념 초호화 패브릭 양장 영혼의 성장 기록, 나를 찾아가는 길 《데미안》 1919년 오리지널 초판본 표지디자인! 20세기 독일 문학가들 가운데 우리나라 독자들에게 가장 잘 알려진 작가를 꼽으라고 한다면 단연 헤르만 헤세일 것이다. 내면의 탐구자이자 자아 성찰의 대표 작가인 헤르만 헤세는 휴머니즘을 지향하며, 고뇌하는 청춘과 자연에 대한 동경, 인간의 양면성 등을 작품에 담았다. 도서출판 더스토리는 헤르만 헤세 탄생 140주년을 기념하여 헤르만 헤세의 대표작인 《데미안》을 초호화 패브릭 양장으로 제작하였다. 패브릭 특유의 고급스러운 색감과 감촉뿐만 아니라 1919년 출판된 독일 피셔 출판사의 초판본 표지디자인을 그대로 되살려 소장 가치를 한층 높였다. 또한 실로 꿰맨 정통적인 사철 제본을 통해 책의 내구성을 높이고 펼쳐 읽기도 편하게 만들었으며, 독일의 대표적 표지 제작 방식 중 하나인 초코박을 재현하여 오리지널 초판본의 품격과 가치를 담아냈다. 그리고 헤르만 헤세 전문 번역자이자 독일 문학 연구자인 역자의 깊이 있는 번역은 자서전적이고 철학적인 헤르만 헤세 문학의 감동을 고스란히 전해줄 것이다.","['헤르만', '헤세', '탄생', '주년', '기념', '초호화', '패브릭', '양장', '영혼의', '성장', '기록', '나를', '찾아가는', '데미안', '오리지널', '초판본', '표지디자인', '세기', '독일', '문학가들', '가운데', '우리나라', '독자들에게', '가장', '알려진', '작가를', '꼽으라고', '한다면', '단연', '헤르만', '헤세일', '것이다', '내면의', '탐구자이자', '자아', '성찰의', '대표', '작가인', '헤르만', '헤세는', '휴머니즘을', '지향하며', '고뇌하는', '청춘과', '자연에', '대한', '동경', '인간의', '양면성', '등을', '작품에', '담았다', '도서출판', '더스토리는', '헤르만', '헤세', '탄생', '주년을', '기념하여', '헤르만', '헤세의', '대표작인', '데미안', '초호화', '패브릭', '양장으로', '제작하였다', '패브릭', '특유의', '고급스러운', '색감과', '감촉뿐만', '아니라', '출판된', '독일', '피셔', '출판사의', '초판본', '표지디자인을', '그대로', '되살려', '소장', '가치를', '한층', '높였다', '또한', '실로', '꿰맨', '정통적인', '사철', '제본을', '통해', '책의', '내구성을', '높이고', '펼쳐', '읽기도', '편하게', '만들었으며', '독일의', '대표적', '표지', '제작', '방식', '하나인', '초코박을', '재현하여', '오리지널', '초판본의', '품격과', '가치를', '담아냈다', '그리고', '헤르만', '헤세', '전문', '번역자이자', '독일', '문학', '연구자인', '역자의', '깊이', '있는', '번역은', '자서전적이고', '철학적인', '헤르만', '헤세', '문학의', '감동을', '고스란히', '전해줄', '것이다']",헤르 헤 탄 140 기 초호 패브 양 영혼 성 기록  찾아  《데미 1919 오리 초판 표지디 20세 독 문학 가운  독   알려 작 꼽으 한다 단 헤르 헤세  내면 탐  성찰 대 작 헤르 헤세 휴머니즘 지향하며 고뇌 청춘 자연 대 동경 인간 양면  작품 담았다 도서출 더스토리 헤르 헤 탄 140 기념 헤르 헤세 대표작 《데미안》 초호 패브 양장으 제작하였다 패브 특유 고급스러 색감 감촉뿐  1919 출판 독 피 출판 초판 표지디 그대 되 소 가치  높였다  실 꿰 정통  제본 통 책 내구성 높 펼 읽기 편 만들었으며 독 대표 표  방   초코박 재현 오리 초판본 품격 가치 담아냈다 그리 헤르 헤  번역 독 문 연 역 깊  번역 자서 철학 헤르 헤 문학 감동 고스란 전해 것이다.
보건교사 안은영(특별판),소설,"본격 학원 명랑 미스터리 소설 출간 5주년 & 영상화 기념 리커버 특별판 출간! 2015년 12월에 출간되어 꾸준한 사랑을 받아 온 『보건교사 안은영』이 출간 5주년과 작품 영상화를 기념하여 ‘리커버 특별판’으로 출간되었다. 2010년 단편소설에서 탄생한 ‘안은영’이 ‘넷플릭스 오리지널 시리즈’의 히어로가 되기까지의 소회가 담긴 작가의 편지로부터 책은 시작한다. 그 시간 동안 안은영이 자신에게 좋은 친구가 되어 주었다는 정세랑의 고백은 아마 많은 독자에게도 마찬가지일 것이다. 그 친구가 오랜만에 새 옷을 입었다. 일러스트레이터 ‘람한’의 작업으로 새로 탄생한 표지 디자인은 소설의 세계관을 충실히 반영하는 동시에 유니크한 색감과 구성으로 독자들의 소장 욕구를 자극한다. 또한 책의 뒤편에 자리한 다섯 편의 추천사는 독서를 마친 이들에게 편안하고 다정한 대화 상대가 될 것이다. 에세이스트 김혼비, 팟캐스트 ‘듣똑라’ 팀장 김효은 기자, 배우 이설, 작가 이슬아와 시인 황인찬이 필진으로 참여했다. 지금 이때에 더없이 적절한 메시지를 담은 정세랑 작가의 사인(인쇄)은 빛나는 덤이다.","['본격', '학원', '명랑', '미스터리', '소설', '출간', '주년', '영상화', '기념', '리커버', '특별판', '출간', '월에', '출간되어', '꾸준한', '사랑을', '받아', '보건교사', '안은영', '출간', '주년과', '작품', '영상화를', '기념하여', '리커버', '특별판', '으로', '출간되었다', '단편소설에서', '탄생한', '안은영', '넷플릭스', '오리지널', '시리즈', '히어로가', '되기까지의', '소회가', '담긴', '작가의', '편지로부터', '책은', '시작한다', '시간', '동안', '안은영이', '자신에게', '좋은', '친구가', '되어', '주었다는', '정세랑의', '고백은', '아마', '많은', '독자에게도', '마찬가지일', '것이다', '친구가', '오랜만에', '옷을', '입었다', '일러스트레이터', '람한', '작업으로', '새로', '탄생한', '표지', '디자인은', '소설의', '세계관을', '충실히', '반영하는', '동시에', '유니크한', '색감과', '구성으로', '독자들의', '소장', '욕구를', '자극한다', '또한', '책의', '뒤편에', '자리한', '다섯', '편의', '추천사는', '독서를', '마친', '이들에게', '편안하고', '다정한', '대화', '상대가', '것이다', '에세이스트', '김혼비', '팟캐스트', '듣똑라', '팀장', '김효은', '기자', '배우', '이설', '작가', '이슬아와', '시인', '황인찬이', '필진으로', '참여했다', '지금', '이때에', '더없이', '적절한', '메시지를', '담은', '정세랑', '작가의', '사인은', '빛나는', '덤이다']",본 학  미스터 소 출 5  영상 기 리커 특별 출 2015 12 출간 꾸준 사랑   『보건교 안은영』 출 5 작 영상화 기념 ‘리커 특별판’으 출간되었다 2010 단편소설 탄생 ‘안은영’ ‘넷플릭 오리 시리즈’ 히어 되기 소회 담 작 편지로부 책 시작한다  시 동 안은   친  주었다 정세랑 고백   독 마찬가   친 오랜  옷 입었다 일러스트레 ‘람한’ 작업으 새 탄생 표 디 소설 세계관 충실 반 동시 유니 색감 구성으 독 소 욕 자극한다  책 뒤편 자리 다 편 추천 독서 마  편 다정 대 상대   에세이스 김혼비 팟캐스 ‘듣똑 팀 김효 기 배 이설 작 이슬 시 황인찬 필진으 참여했다    적절 메시 담 정세 작 사인(인쇄) 빛 덤이다.
녹나무의 파수꾼,소설,"사상 최초 한국·중국·일본·대만 전 세계 동시 출간! 《나미야 잡화점의 기적》을 잇는 또 하나의 감동 대작 《나미야 잡화점의 기적》을 잇는 감동 소설을 들고 온 히가시노 게이고. 『녹나무의 파수꾼』은 소원을 들어주는 나무라는 다소 황당무계해 보이는 설정이지만 저자는 대가다운 솜씨를 발휘해서 그 나무의 능력을, 그리고 그 나무에 마음을 전하고 싶은 사람들의 사연을 설득력 있게 풀어낸다. 정말로 우리 주변에 있을 법한 사람들의 모습과 그들의 이야기를 읽고 있다 보면 어느새 마음속 어딘가에서 감동이 툭, 하고 번져오게 될 것이다. 천애고아, 무직, 절도죄로 유치장 수감 중. 그야말로 막장인생 그 자체인 청년 레이토. 그런 그에게 일생일대의 기묘한 제안이 찾아온다. 변호사를 써서 감옥에 가지 않도록 해줄 테니 그 대신 시키는 대로 하라는 것. 제안을 받아들인 레이토 앞에 나타난 사람은 지금까지 존재를 알지 못했던 이모라고 한다. 그녀는 레이토만이 할 수 있다며 ‘월향신사’라는 곳의 ‘녹나무’를 지키는 일을 맡긴다. 그 녹나무는 이른바 영험한 나무로, 많은 사람들이 기도를 하러 온다. 그러나 단순히 기도를 한다기엔 그 태도에는 무언가 석연찮은 것이 있다. 일한지 한 달 정도 지났을 무렵, 레이토는 순찰을 돌다 여대생 유미와 마주친다. 유미는 자신의 아버지가 여기서 도대체 무슨 기도를 하는지 파헤치려 뒤쫓아 온 것. 레이토는 반은 호기심에, 반은 어쩌다보니 유미에게 협력하게 된다.","['사상', '최초', '한국', '중국', '일본', '대만', '세계', '동시', '출간', '나미야', '잡화점의', '기적', '잇는', '하나의', '감동', '대작', '나미야', '잡화점의', '기적', '잇는', '감동', '소설을', '들고', '히가시노', '게이고', '녹나무의', '파수꾼', '소원을', '들어주는', '나무라는', '다소', '황당무계해', '보이는', '설정이지만', '저자는', '대가다운', '솜씨를', '발휘해서', '나무의', '능력을', '그리고', '나무에', '마음을', '전하고', '싶은', '사람들의', '사연을', '설득력', '있게', '풀어낸다', '정말로', '우리', '주변에', '있을', '법한', '사람들의', '모습과', '그들의', '이야기를', '읽고', '있다', '보면', '어느새', '마음속', '어딘가에서', '감동이', '하고', '번져오게', '것이다', '천애고아', '무직', '절도죄로', '유치장', '수감', '그야말로', '막장인생', '자체인', '청년', '레이토', '그런', '그에게', '일생일대의', '기묘한', '제안이', '찾아온다', '변호사를', '써서', '감옥에', '가지', '않도록', '해줄', '테니', '대신', '시키는', '대로', '하라는', '제안을', '받아들인', '레이토', '앞에', '나타난', '사람은', '지금까지', '존재를', '알지', '못했던', '이모라고', '한다', '그녀는', '레이토만이', '있다며', '월향신사', '라는', '곳의', '녹나무', '지키는', '일을', '맡긴다', '녹나무는', '이른바', '영험한', '나무로', '많은', '사람들이', '기도를', '하러', '온다', '그러나', '단순히', '기도를', '한다기엔', '태도에는', '무언가', '석연찮은', '것이', '있다', '일한지', '정도', '지났을', '무렵', '레이토는', '순찰을', '돌다', '여대생', '유미와', '마주친다', '유미는', '자신의', '아버지가', '여기서', '도대체', '무슨', '기도를', '하는지', '파헤치려', '뒤쫓아', '레이토는', '반은', '호기심에', '반은', '어쩌다보니', '유미에게', '협력하게', '된다']", 최 한국·중국·일본·대  세 동 출 《나미 잡화 기적》 잇   감 대 《나미 잡화 기적》 잇 감 소설   히가시 게이고 『녹나무 파수꾼』 소 들어 나무 다 황당무계  설정이 저 대가다 솜 발휘해  나무 능력 그리  나무 마음    사연 설득  풀어낸다 정 우 주변  법  모습  이야기 읽    마음 어딘 감동   번져   천애고 무직 절도죄 유치   그야 막장  자체 청 레이토   일생일대 기묘 제 찾아온다 변호 써 감옥  않도 해 테  대  대   제 받아 레  나타  지금까 존재  못했 이모 한다  레이토    ‘월향신사’ 곳 ‘녹나무’ 지키  맡긴다  녹나무 이른 영험 나무   기도  온다  단순 기도 한다기  태도 무언 석연찮      정 지났  레이토 순찰 돌 여대 유미 마주친다 유미  아버  도대 무 기도  파헤치 뒤쫓   레이토 반 호기심 반 어쩌다 유미 협력 된다.
우리가 빛의 속도로 갈 수 없다면,소설,"무엇이 우리를 그럼에도 불구하고, 혐오와 차별, 모순으로 가득 찬 세계를 분투하며 살아가게 하는가! 바이오센서를 만드는 과학도에서 이제는 소설을 쓰는 작가 김초엽. 어디에도 없는 그러나 어딘가에 있을 것 같은 상상의 세계를 특유의 분위기로 손에 잡힐 듯 그려내며, 정상과 비정상, 성공과 실패, 주류와 비주류의 경계를 끊임없이 질문해온 그의 첫 소설집 『우리가 빛의 속도로 갈 수 없다면』. 《관내분실》로 2017년 제2회 한국과학문학상 중단편부문 대상을, 《우리가 빛의 속도로 갈 수 없다면》으로 가작을 동시에 받으며 작품 활동을 시작한 저자의 이야기를 만나볼 수 있다. 신인소설가로서는 드물게 등단 일 년여 만에 《현대문학》, 《문학3》, 《에피》 등 여러 지면을 통해 발표한 작품으로 펴낸 첫 소설집으로, 근사한 세계를 그려내는 상상력에서 한 발 더 나아가, 우리를 돌아보게 하는 질문을 던지는 일곱 편의 작품이 수록되었다.","['무엇이', '우리를', '그럼에도', '불구하고', '혐오와', '차별', '모순으로', '가득', '세계를', '분투하며', '살아가게', '하는가', '바이오센서를', '만드는', '과학도에서', '이제는', '소설을', '쓰는', '작가', '김초엽', '어디에도', '없는', '그러나', '어딘가에', '있을', '같은', '상상의', '세계를', '특유의', '분위기로', '손에', '잡힐', '그려내며', '정상과', '비정상', '성공과', '실패', '주류와', '비주류의', '경계를', '끊임없이', '질문해온', '그의', '소설집', '우리가', '빛의', '속도로', '없다면', '관내분실', '한국과학문학상', '중단편부문', '대상을', '우리가', '빛의', '속도로', '없다면', '으로', '가작을', '동시에', '받으며', '작품', '활동을', '시작한', '저자의', '이야기를', '만나볼', '있다', '신인소설가로서는', '드물게', '등단', '년여', '만에', '현대문학', '문학', '에피', '여러', '지면을', '통해', '발표한', '작품으로', '펴낸', '소설집으로', '근사한', '세계를', '그려내는', '상상력에서', '나아가', '우리를', '돌아보게', '하는', '질문을', '던지는', '일곱', '편의', '작품이', '수록되었다']",    혐 차별 모순으   세계 분투 살아  바이오센서 만드 과학도  소설 쓰 작 김초엽    어딘    상상 세계 특유 분위기 손 잡  그려내며 정상 비정상 성공 실패 주류 비주류 경계 끊임 질문해   소설 『 빛 속도   없다면』 《관내분실》 2017 제2 한국과학문학 중단편부 대상 《 빛 속도   없다면》으 가작 동시 받으 작 활동 시작 저 이야기    신인소설가로서 드물     《현대문학》 《문학3》 《에피   지면 통 발표 작품으 펴  소설 근 세계 그려 상상력    나아  돌아  질문 던  편 작품 수록되었다.
기억 1,소설,"기억의 문이 열리고 모험이 시작된다! 한국 독자들이 사랑하는 베스트셀러 작가 베르나르 베르베르의 신작 장편소설 『기억』(전2권)이 프랑스 문학 전문 번역가 전미연의 번역으로 열린책들에서 출간되었다. 꾸준히 신작을 발표해 온 베르베르는 이번에 〈기억〉이라는 테마로 시공간을 넘나들며 자신만의 독특한 세계관을 확장해 나간다. 주인공 르네 톨레다노는 고등학교에서 역사를 가르치는 교사이다. 그는 센강 유람선 공연장 〈판도라의 상자〉에 갔다가 퇴행 최면의 대상자로 선택당한다. 최면에 성공해 무의식의 복도에 늘어선 기억의 문을 열 수 있게 된 르네. 문 너머에서 엿본 기억은, 제1차 세계 대전의 전장에서 목숨을 잃은 그의 전생이었다. 최면이 끝난 후에도 너무나 생생하고 강렬한 기억에 시달리던 그는 몸싸움에 휘말려 의도치 않게 사람을 죽이고 경찰에 자수할지 말지 고민하며 초조한 나날을 보내게 된다. 한편 르네는 자신에게 총 111번의 전생이 있었다는 사실을 알고 제1차 세계 대전 참전병 외에도 여러 기억의 문을 열어 본다. 그중에서도 최초의 전생은 놀랍게도 현대인이 〈아틀란티스〉라고 부르는 전설 속의 섬에 사는 남자 게브였다. 아틀란티스가 바닷속에 잠겨 버렸다고 알고 있는 르네는 어떻게든 게브를 구하고 싶어 하고, 〈판도라의 상자〉 무대에서 만났던 최면사 오팔이 르네의 조력자를 자처한다. 현생에서는 경찰에 쫓기며 정신병자 취급을 받고, 전생에서는 대홍수가 예고된 가운데 과연 르네와 게브의 운명은?","['기억의', '문이', '열리고', '모험이', '시작된다', '한국', '독자들이', '사랑하는', '베스트셀러', '작가', '베르나르', '베르베르의', '신작', '장편소설', '기억', '프랑스', '문학', '전문', '번역가', '전미연의', '번역으로', '열린책들에서', '출간되었다', '꾸준히', '신작을', '발표해', '베르베르는', '이번에', '기억', '이라는', '테마로', '시공간을', '넘나들며', '자신만의', '독특한', '세계관을', '확장해', '나간다', '주인공', '르네', '톨레다노는', '고등학교에서', '역사를', '가르치는', '교사이다', '그는', '센강', '유람선', '공연장', '판도라의', '상자', '갔다가', '퇴행', '최면의', '대상자로', '선택당한다', '최면에', '성공해', '무의식의', '복도에', '늘어선', '기억의', '문을', '있게', '르네', '너머에서', '엿본', '기억은', '세계', '대전의', '전장에서', '목숨을', '잃은', '그의', '전생이었다', '최면이', '끝난', '후에도', '너무나', '생생하고', '강렬한', '기억에', '시달리던', '그는', '몸싸움에', '휘말려', '의도치', '않게', '사람을', '죽이고', '경찰에', '자수할지', '말지', '고민하며', '초조한', '나날을', '보내게', '된다', '한편', '르네는', '자신에게', '번의', '전생이', '있었다는', '사실을', '알고', '세계', '대전', '참전병', '외에도', '여러', '기억의', '문을', '열어', '본다', '그중에서도', '최초의', '전생은', '놀랍게도', '현대인이', '아틀란티스', '라고', '부르는', '전설', '속의', '섬에', '사는', '남자', '게브였다', '아틀란티스가', '바닷속에', '잠겨', '버렸다고', '알고', '있는', '르네는', '어떻게든', '게브를', '구하고', '싶어', '하고', '판도라의', '상자', '무대에서', '만났던', '최면사', '오팔이', '르네의', '조력자를', '자처한다', '현생에서는', '경찰에', '쫓기며', '정신병자', '취급을', '받고', '전생에서는', '대홍수가', '예고된', '가운데', '과연', '르네와', '게브의', '운명은']",기억 문 열리 모험 시작된  독 사랑 베스트셀 작 베르 베르베르 신 장편소 『기억』(전2권) 프랑 문  번역 전미연 번역으 열린책 출간되었다 꾸준 신작 발표  베르베르  〈기억〉 테마 시공간 넘  독특 세계관 확장 나간다  르 톨레다노 고등학교 역 가르치 교사이다  센 유람 공연 〈판도 상자〉 갔다 퇴 최면 대상 선택당한다 최면 성공 무의식 복도 늘 기억 문     르  너머 엿 기억은 제1 세 대 전장 목숨 잃  전생 최면 끝  너무 생생 강렬 기억 시달리  몸싸움 휘 의도   죽 경찰   고민 초조 나날 보 된다  르   111 전생 있었다   제1 세 대 참 외  기억 문 열 본다  최초 전생 놀랍게 현대 〈아틀란티스〉 부르   섬  남 게브였다 아틀란티스 바닷 잠 버렸다   르  게브    〈판도 상 무대 만났 최면  르 조력 자처한다 현생 경찰 쫓기 정신병 취급 받고 전생 대홍 예고 가운  르 게브 운명은?
날씨가 좋으면 찾아가겠어요,소설,"""네 사랑이 무사하기를, 내 사랑도 무사하니까. 세상의 모든 사랑이 무사하기를""이라는 문장으로 회자되며 25만 독자들의 사랑을 받은 『사서함 110호의 우편물』 이도우 작가의 장편 소설. 시골 마을 낡은 기와집에 자리한 작은 서점 '굿나잇책방'을 배경으로 용서와 치유, 사랑에 관한 이야기를 들려준다. 서로에게 많이 미안한 이들이 오랫동안 하지 못했던 말들을 비로소 용기 내어 전하는 이야기.","['사랑이', '무사하기를', '사랑도', '무사하니까', '세상의', '모든', '사랑이', '무사하기를', '이라는', '문장으로', '회자되며', '독자들의', '사랑을', '받은', '사서함', '호의', '우편물', '이도우', '작가의', '장편', '소설', '시골', '마을', '낡은', '기와집에', '자리한', '작은', '서점', '굿나잇책방', '배경으로', '용서와', '치유', '사랑에', '관한', '이야기를', '들려준다', '서로에게', '많이', '미안한', '이들이', '오랫동안', '하지', '못했던', '말들을', '비로소', '용기', '내어', '전하는', '이야기']",""" 사랑 무  사랑 무사하니까 세상  사랑 무사하기를"" 문장으 회자 25 독 사랑  『사서 110호 우편물 이도 작 장 소설 시 마 낡 기와 자리 작 서 '굿나잇책방 배경으 용서 치유 사랑 관 이야기 들려준다 서  미  오랫동  못했  비 용   이야기."
페스트,소설,"극한의 절망 속에서도 억누를 수 없는 희망의 의지! 20세기 실존주의 문학의 대표 작가 알베르 카뮈의 소설 『페스트』. '페스트'라는 비극적인 현실 속에서 의연히 운명과 대결하는 인간의 모습을 그린 이 작품은 20세기 문학이 남긴 기념비적인 고전으로 꼽힌다. 무서운 전염병이 휩쓴 폐쇄된 도시에서 재앙에 대응하는 사람들의 각기 다른 모습이 묘사된다. 인물들은 재앙에 대처하는 서로 다른 태도를 드러내 보인다. 그들의 모습을 통해 절망과 맞서는 것은 결국 행복에 대한 의지이며, 잔혹한 현실과 죽음 앞에서도 희망을 놓지 않는 것이야말로 이 부조리한 세상에 대한 진정한 반항임을 이야기한다. 이번 한국어판은 1999년 우리나라 최고의 불문학 번역가로 선정된 김화영 교수가 새로운 번역으로 선보인다.","['극한의', '절망', '속에서도', '억누를', '없는', '희망의', '의지', '세기', '실존주의', '문학의', '대표', '작가', '알베르', '카뮈의', '소설', '페스트', '페스트', '라는', '비극적인', '현실', '속에서', '의연히', '운명과', '대결하는', '인간의', '모습을', '그린', '작품은', '세기', '문학이', '남긴', '기념비적인', '고전으로', '꼽힌다', '무서운', '전염병이', '휩쓴', '폐쇄된', '도시에서', '재앙에', '대응하는', '사람들의', '각기', '다른', '모습이', '묘사된다', '인물들은', '재앙에', '대처하는', '서로', '다른', '태도를', '드러내', '보인다', '그들의', '모습을', '통해', '절망과', '맞서는', '것은', '결국', '행복에', '대한', '의지이며', '잔혹한', '현실과', '죽음', '앞에서도', '희망을', '놓지', '않는', '것이야말로', '부조리한', '세상에', '대한', '진정한', '반항임을', '이야기한다', '이번', '한국어판은', '우리나라', '최고의', '불문학', '번역가로', '선정된', '김화영', '교수가', '새로운', '번역으로', '선보인다']",극 절  억누   희망 의 20세 실존 문학 대 작 알베 카뮈 소 『페스트』 '페스트' 비극 현  의연 운 대결 인간 모습   작품 20세 문학 남 기념비 고전으 꼽힌다 무서 전염병 휩 폐쇄 도시 재앙 대   다 모습 묘사된다 인물 재앙 대처 서 다 태도 드러 보인다  모습 통 절망 맞서  결 행복 대 의지이며 잔혹 현실 죽  희망   것이야  부조리 세상 대 진정 반항임 이야기한다  한국어판 1999  최고 불문 번역 선정 김화 교 새 번역으 선보인다.
